"sample_id","sample_id_metaphlan","study_readable","species","gender","age","weight","antibiotics","medications","Hill's/Public","Facility/Household"
"F-50159542-005S_S176_L005","F-50159542-005S_S176_L005","DietInt Study4","dog","Female",9.53,10.4,"No","Yes","Hill's","Facility"
"F-50159543-005S_S186_L005","F-50159543-005S_S186_L005","DietInt Study4","dog","Female",5.41,8.5,"No","Yes","Hill's","Facility"
"F-50159544-005S_S173_L005","F-50159544-005S_S173_L005","DietInt Study4","dog","Male",13.9,11.2,"Yes","Yes","Hill's","Facility"
"F-50159545-005S_S168_L005","F-50159545-005S_S168_L005","DietInt Study4","dog","Male",11.9,9.4,"No","Yes","Hill's","Facility"
"F-50159546-005S_S167_L005","F-50159546-005S_S167_L005","DietInt Study4","dog","Female",8.07,10.4,"No","Yes","Hill's","Facility"
"F-50159547-005S_S180_L005","F-50159547-005S_S180_L005","DietInt Study4","dog","Female",11.89,8.1,"No","Yes","Hill's","Facility"
"F-50159548-005S_S169_L005","F-50159548-005S_S169_L005","DietInt Study4","dog","Female",6.81,9,"No","Yes","Hill's","Facility"
"F-50159549-005S_S172_L005","F-50159549-005S_S172_L005","DietInt Study4","dog","Female",10.32,10.2,"No","Yes","Hill's","Facility"
"F-50159550-005S_S90_L001","F-50159550-005S_S90_L001","DietInt Study4","dog","Female",13.46,9.2,"No","Yes","Hill's","Facility"
"F-50159552-005S_S91_L001","F-50159552-005S_S91_L001","DietInt Study4","dog","Female",12.53,10.2,"No","Yes","Hill's","Facility"
"F-50159553-005S_S76_L004","F-50159553-005S_S76_L004","DietInt Study4","dog","Male",8.62,11,"No","Yes","Hill's","Facility"
"F-50159554-005S_S93_L001","F-50159554-005S_S93_L001","DietInt Study4","dog","Male",5.17,10,"No","Yes","Hill's","Facility"
"F-50159555-005S_S92_L001","F-50159555-005S_S92_L001","DietInt Study4","dog","Male",8.44,8.6,"No","Yes","Hill's","Facility"
"F-50159556-005S_S94_L001","F-50159556-005S_S94_L001","DietInt Study4","dog","Female",5.42,9.3,"No","Yes","Hill's","Facility"
"F-50159557-005S_S97_L001","F-50159557-005S_S97_L001","DietInt Study4","dog","Female",9.55,11.5,"No","Yes","Hill's","Facility"
"F-50159558-005S_S99_L001","F-50159558-005S_S99_L001","DietInt Study4","dog","Female",9.55,10.1,"No","Yes","Hill's","Facility"
"F-50159559-005S_S100_L001","F-50159559-005S_S100_L001","DietInt Study4","dog","Female",5.43,8.3,"No","Yes","Hill's","Facility"
"F-50159560-005S_S101_L001","F-50159560-005S_S101_L001","DietInt Study4","dog","Female",8.59,7.3,"No","Yes","Hill's","Facility"
"F-50159561-005S_S98_L001","F-50159561-005S_S98_L001","DietInt Study4","dog","Male",13.92,11,"Yes","Yes","Hill's","Facility"
"F-50159628-005S_S171_L005","F-50159628-005S_S171_L005","DietInt Study4","dog","Female",8.09,10.2,"No","Yes","Hill's","Facility"
"F-50159629-005S_S181_L005","F-50159629-005S_S181_L005","DietInt Study4","dog","Female",11.91,7.8,"No","Yes","Hill's","Facility"
"F-50159630-005S_S179_L005","F-50159630-005S_S179_L005","DietInt Study4","dog","Female",6.83,8.9,"No","Yes","Hill's","Facility"
"F-50159631-005S_S178_L005","F-50159631-005S_S178_L005","DietInt Study4","dog","Female",13.48,8.9,"No","Yes","Hill's","Facility"
"F-50159632-005S_S170_L005","F-50159632-005S_S170_L005","DietInt Study4","dog","Female",10.33,10.1,"No","Yes","Hill's","Facility"
"F-50159633-005S_S177_L005","F-50159633-005S_S177_L005","DietInt Study4","dog","Male",11.92,9.3,"No","Yes","Hill's","Facility"
"F-50159634-005S_S102_L001","F-50159634-005S_S102_L001","DietInt Study4","dog","Female",12.55,10.2,"No","Yes","Hill's","Facility"
"F-50159635-005S_S105_L001","F-50159635-005S_S105_L001","DietInt Study4","dog","Male",9.38,13.6,"No","Yes","Hill's","Facility"
"F-50159636-005S_S106_L001","F-50159636-005S_S106_L001","DietInt Study4","dog","Male",8.64,11.5,"No","Yes","Hill's","Facility"
"F-50159637-005S_S107_L001","F-50159637-005S_S107_L001","DietInt Study4","dog","Female",5.44,9.1,"No","Yes","Hill's","Facility"
"F-50159638-005S_S103_L001","F-50159638-005S_S103_L001","DietInt Study4","dog","Male",8.46,8.8,"No","Yes","Hill's","Facility"
"F-50159639-005S_S104_L001","F-50159639-005S_S104_L001","DietInt Study4","dog","Male",5.19,10,"No","Yes","Hill's","Facility"
"F-50159640-005S_S133_L005","F-50159640-005S_S133_L005","DietInt Study4","dog","Female",9.57,11.4,"No","Yes","Hill's","Facility"
"F-50159641-005S_S132_L005","F-50159641-005S_S132_L005","DietInt Study4","dog","Male",13.93,10.4,"Yes","Yes","Hill's","Facility"
"F-50159642-005S_S131_L005","F-50159642-005S_S131_L005","DietInt Study4","dog","Female",5.44,8.3,"No","Yes","Hill's","Facility"
"F-50159643-005S_S130_L005","F-50159643-005S_S130_L005","DietInt Study4","dog","Female",9.57,10.1,"No","Yes","Hill's","Facility"
"F-50159644-005S_S134_L005","F-50159644-005S_S134_L005","DietInt Study4","dog","Female",8.61,7.1,"No","Yes","Hill's","Facility"
"F-50200638-005S_HP2247_S89","F-50200638-005S_HP2247_S89","DietInt Study3","dog","Female",9.07,8.5,"No","Yes","Hill's","Facility"
"F-50200640-005S_HP2247_S78","F-50200640-005S_HP2247_S78","DietInt Study3","dog","Male",9.07,11.7,"No","Yes","Hill's","Facility"
"F-50200642-005S_HP2247_S93","F-50200642-005S_HP2247_S93","DietInt Study3","dog","Male",14.15,9.9,"No","Yes","Hill's","Facility"
"F-50200644-005S_HP2247_S83","F-50200644-005S_HP2247_S83","DietInt Study3","dog","Male",10.33,9.7,"No","Yes","Hill's","Facility"
"F-50200646-005S_HP2247_S88","F-50200646-005S_HP2247_S88","DietInt Study3","dog","Male",14.15,12.2,"No","Yes","Hill's","Facility"
"F-50200648-005S_HP2247_S97","F-50200648-005S_HP2247_S97","DietInt Study3","dog","Male",6.71,13,"No","Yes","Hill's","Facility"
"F-50200650-005S_HP2247_S107","F-50200650-005S_HP2247_S107","DietInt Study3","dog","Female",12.68,9.1,"No","Yes","Hill's","Facility"
"F-50200652-005S_HP2247_S134","F-50200652-005S_HP2247_S134","DietInt Study3","dog","Female",12.79,9.5,"No","No","Hill's","Facility"
"F-50200655-005S_HP2247_S148","F-50200655-005S_HP2247_S148","DietInt Study3","dog","Male",11.1,9.3,"No","No","Hill's","Facility"
"F-50200657-005S_HP2247_S127","F-50200657-005S_HP2247_S127","DietInt Study3","dog","Female",10.44,9.6,"No","Yes","Hill's","Facility"
"F-50200659-005S_HP2247_S154","F-50200659-005S_HP2247_S154","DietInt Study3","dog","Female",10.56,9.5,"No","No","Hill's","Facility"
"F-50200661-005S_HP2247_S113","F-50200661-005S_HP2247_S113","DietInt Study3","dog","Male",10.81,8.3,"No","Yes","Hill's","Facility"
"F-50200663-005S_HP2247_S140","F-50200663-005S_HP2247_S140","DietInt Study3","dog","Male",10.93,8,"No","No","Hill's","Facility"
"F-50200665-005S_HP2247_S106","F-50200665-005S_HP2247_S106","DietInt Study3","dog","Female",6.97,11.9,"No","Yes","Hill's","Facility"
"F-50200667-005S_HP2247_S133","F-50200667-005S_HP2247_S133","DietInt Study3","dog","Female",7.08,11.3,"No","No","Hill's","Facility"
"F-50200669-005S_HP2247_S111","F-50200669-005S_HP2247_S111","DietInt Study3","dog","Female",6.65,10.1,"No","Yes","Hill's","Facility"
"F-50200671-005S_HP2247_S138","F-50200671-005S_HP2247_S138","DietInt Study3","dog","Female",6.77,9.6,"No","No","Hill's","Facility"
"F-50200673-005S_HP2247_S121","F-50200673-005S_HP2247_S121","DietInt Study3","dog","Male",10.99,9.1,"No","Yes","Hill's","Facility"
"F-50200674-005S_HP2247_S114","F-50200674-005S_HP2247_S114","DietInt Study3","dog","Female",11.92,10.3,"No","Yes","Hill's","Facility"
"F-50200676-005S_HP2247_S141","F-50200676-005S_HP2247_S141","DietInt Study3","dog","Female",12.04,10.5,"No","No","Hill's","Facility"
"F-50200678-005S_HP2247_S122","F-50200678-005S_HP2247_S122","DietInt Study3","dog","Female",10.81,7.9,"No","Yes","Hill's","Facility"
"F-50200680-005S_HP2247_S149","F-50200680-005S_HP2247_S149","DietInt Study3","dog","Female",10.93,8.2,"No","No","Hill's","Facility"
"F-50200682-005S_HP2247_S117","F-50200682-005S_HP2247_S117","DietInt Study3","dog","Female",14.27,8.4,"No","Yes","Hill's","Facility"
"F-50200684-005S_HP2247_S144","F-50200684-005S_HP2247_S144","DietInt Study3","dog","Female",14.38,8.4,"No","Yes","Hill's","Facility"
"F-50200686-005S_HP2247_S150","F-50200686-005S_HP2247_S150","DietInt Study3","dog","Female",9.29,8.8,"No","Yes","Hill's","Facility"
"F-50200688-005S_HP2247_S104","F-50200688-005S_HP2247_S104","DietInt Study3","dog","Male",10.81,8.6,"No","Yes","Hill's","Facility"
"F-50200690-005S_HP2247_S131","F-50200690-005S_HP2247_S131","DietInt Study3","dog","Male",10.92,8.9,"No","Yes","Hill's","Facility"
"F-50200692-005S_HP2247_S128","F-50200692-005S_HP2247_S128","DietInt Study3","dog","Male",5.71,12.5,"No","Yes","Hill's","Facility"
"F-50200694-005S_HP2247_S155","F-50200694-005S_HP2247_S155","DietInt Study3","dog","Male",5.83,11.8,"No","No","Hill's","Facility"
"F-50200696-005S_HP2247_S108","F-50200696-005S_HP2247_S108","DietInt Study3","dog","Male",7.54,10.4,"No","Yes","Hill's","Facility"
"F-50200698-005S_HP2247_S135","F-50200698-005S_HP2247_S135","DietInt Study3","dog","Male",7.65,10.2,"No","No","Hill's","Facility"
"F-50200700-005S_HP2247_S125","F-50200700-005S_HP2247_S125","DietInt Study3","dog","Male",5.36,10.6,"No","Yes","Hill's","Facility"
"F-50200702-005S_HP2247_S152","F-50200702-005S_HP2247_S152","DietInt Study3","dog","Male",5.47,11,"No","No","Hill's","Facility"
"F-50200704-005S_HP2247_S123","F-50200704-005S_HP2247_S123","DietInt Study3","dog","Female",9.18,9.1,"No","Yes","Hill's","Facility"
"F-50200706-005S_HP2247_S156","F-50200706-005S_HP2247_S156","DietInt Study3","dog","Female",11.08,6.5,"No","Yes","Hill's","Facility"
"F-50200708-005S_HP2247_S119","F-50200708-005S_HP2247_S119","DietInt Study3","dog","Male",14.27,10.1,"No","Yes","Hill's","Facility"
"F-50200710-005S_HP2247_S146","F-50200710-005S_HP2247_S146","DietInt Study3","dog","Male",14.38,9.9,"No","No","Hill's","Facility"
"F-50200712-005S_HP2247_S126","F-50200712-005S_HP2247_S126","DietInt Study3","dog","Male",14.26,11.1,"No","Yes","Hill's","Facility"
"F-50200714-005S_HP2247_S153","F-50200714-005S_HP2247_S153","DietInt Study3","dog","Male",14.37,10.9,"No","No","Hill's","Facility"
"F-50200716-005S_HP2247_S118","F-50200716-005S_HP2247_S118","DietInt Study3","dog","Male",10.95,12.4,"No","Yes","Hill's","Facility"
"F-50200718-005S_HP2247_S145","F-50200718-005S_HP2247_S145","DietInt Study3","dog","Male",11.07,12.9,"Yes","Yes","Hill's","Facility"
"F-50200720-005S_HP2247_S103","F-50200720-005S_HP2247_S103","DietInt Study3","dog","Male",9.19,12.3,"No","Yes","Hill's","Facility"
"F-50200722-005S_HP2247_S130","F-50200722-005S_HP2247_S130","DietInt Study3","dog","Male",9.3,12.4,"No","No","Hill's","Facility"
"F-50200724-005S_HP2247_S129","F-50200724-005S_HP2247_S129","DietInt Study3","dog","Female",10.96,6.5,"No","Yes","Hill's","Facility"
"F-50200726-005S_HP2247_S139","F-50200726-005S_HP2247_S139","DietInt Study3","dog","Male",9.3,11.7,"No","No","Hill's","Facility"
"F-50200728-005S_HP2247_S109","F-50200728-005S_HP2247_S109","DietInt Study3","dog","Female",11.92,12.2,"No","Yes","Hill's","Facility"
"F-50200730-005S_HP2247_S136","F-50200730-005S_HP2247_S136","DietInt Study3","dog","Female",12.04,12,"No","No","Hill's","Facility"
"F-50200736-005S_HP2247_S115","F-50200736-005S_HP2247_S115","DietInt Study3","dog","Male",14.27,11.9,"No","Yes","Hill's","Facility"
"F-50200738-005S_HP2247_S142","F-50200738-005S_HP2247_S142","DietInt Study3","dog","Male",14.36,12,"Yes","Yes","Hill's","Facility"
"F-50200740-005S_HP2247_S124","F-50200740-005S_HP2247_S124","DietInt Study3","dog","Male",6.82,13.4,"No","Yes","Hill's","Facility"
"F-50200742-005S_HP2247_S151","F-50200742-005S_HP2247_S151","DietInt Study3","dog","Male",6.94,13.5,"No","No","Hill's","Facility"
"F-50200744-005S_HP2247_S112","F-50200744-005S_HP2247_S112","DietInt Study3","dog","Male",9.18,11.1,"No","Yes","Hill's","Facility"
"F-50200746-005S_HP2247_S132","F-50200746-005S_HP2247_S132","DietInt Study3","dog","Male",9.3,11.4,"No","No","Hill's","Facility"
"F-50200748-005S_HP2247_S120","F-50200748-005S_HP2247_S120","DietInt Study3","dog","Male",14.27,9.8,"No","Yes","Hill's","Facility"
"F-50200750-005S_HP2247_S147","F-50200750-005S_HP2247_S147","DietInt Study3","dog","Male",14.38,9.8,"No","No","Hill's","Facility"
"F-50200752-005S_HP2247_S110","F-50200752-005S_HP2247_S110","DietInt Study3","dog","Male",10.45,9.4,"No","Yes","Hill's","Facility"
"F-50200754-005S_HP2247_S137","F-50200754-005S_HP2247_S137","DietInt Study3","dog","Male",10.56,9.9,"No","Yes","Hill's","Facility"
"F-50200756-005S_HP2247_S94","F-50200756-005S_HP2247_S94","DietInt Study3","dog","Male",10.87,9.5,"No","Yes","Hill's","Facility"
"F-50200758-005S_HP2247_S100","F-50200758-005S_HP2247_S100","DietInt Study3","dog","Female",10.33,9,"No","Yes","Hill's","Facility"
"F-50200760-005S_HP2247_S86","F-50200760-005S_HP2247_S86","DietInt Study3","dog","Male",10.7,8.2,"No","Yes","Hill's","Facility"
"F-50200762-005S_HP2247_S80","F-50200762-005S_HP2247_S80","DietInt Study3","dog","Female",12.56,9.6,"No","Yes","Hill's","Facility"
"F-50200764-005S_HP2247_S116","F-50200764-005S_HP2247_S116","DietInt Study3","dog","Female",9.18,7.9,"No","Yes","Hill's","Facility"
"F-50200766-005S_HP2247_S143","F-50200766-005S_HP2247_S143","DietInt Study3","dog","Female",9.3,8,"No","No","Hill's","Facility"
"F-50200768-005S_HP2247_S105","F-50200768-005S_HP2247_S105","DietInt Study3","dog","Male",9.19,11.3,"No","Yes","Hill's","Facility"
"F-50200770-005S_HP2247_S98","F-50200770-005S_HP2247_S98","DietInt Study3","dog","Male",5.24,9.9,"No","Yes","Hill's","Facility"
"F-50200772-005S_HP2247_S96","F-50200772-005S_HP2247_S96","DietInt Study3","dog","Female",9.06,9.8,"No","Yes","Hill's","Facility"
"F-50200774-005S_HP2247_S77","F-50200774-005S_HP2247_S77","DietInt Study3","dog","Male",10.69,8.6,"No","Yes","Hill's","Facility"
"F-50200776-005S_HP2247_S101","F-50200776-005S_HP2247_S101","DietInt Study3","dog","Male",5.59,12.6,"No","Yes","Hill's","Facility"
"F-50200778-005S_HP2247_S87","F-50200778-005S_HP2247_S87","DietInt Study3","dog","Female",11.81,10.2,"No","Yes","Hill's","Facility"
"F-50200780-005S_HP2247_S95","F-50200780-005S_HP2247_S95","DietInt Study3","dog","Female",10.7,7.9,"No","Yes","Hill's","Facility"
"F-50200782-005S_HP2247_S90","F-50200782-005S_HP2247_S90","DietInt Study3","dog","Female",14.15,8.3,"No","Yes","Hill's","Facility"
"F-50200784-005S_HP2247_S79","F-50200784-005S_HP2247_S79","DietInt Study3","dog","Female",6.85,11.4,"No","Yes","Hill's","Facility"
"F-50200786-005S_HP2247_S84","F-50200786-005S_HP2247_S84","DietInt Study3","dog","Female",6.54,10.7,"No","Yes","Hill's","Facility"
"F-50200788-005S_HP2247_S85","F-50200788-005S_HP2247_S85","DietInt Study3","dog","Male",9.07,10.6,"No","Yes","Hill's","Facility"
"F-50200790-005S_HP2247_S82","F-50200790-005S_HP2247_S82","DietInt Study3","dog","Female",11.81,12.5,"No","Yes","Hill's","Facility"
"F-50200792-005S_HP2247_S75","F-50200792-005S_HP2247_S75","DietInt Study3","dog","Female",14.79,9.5,"No","Yes","Hill's","Facility"
"F-50200794-005S_HP2247_S91","F-50200794-005S_HP2247_S91","DietInt Study3","dog","Male",10.84,12.7,"No","Yes","Hill's","Facility"
"F-50200796-005S_HP2247_S76","F-50200796-005S_HP2247_S76","DietInt Study3","dog","Male",9.07,12,"No","Yes","Hill's","Facility"
"F-50200798-005S_HP2247_S102","F-50200798-005S_HP2247_S102","DietInt Study3","dog","Female",10.85,6.6,"No","Yes","Hill's","Facility"
"F-50200800-005S_HP2247_S92","F-50200800-005S_HP2247_S92","DietInt Study3","dog","Male",14.15,10,"No","Yes","Hill's","Facility"
"F-50200802-005S_HP2247_S99","F-50200802-005S_HP2247_S99","DietInt Study3","dog","Male",14.14,11.4,"No","Yes","Hill's","Facility"
"F-50200804-005S_HP2247_S81","F-50200804-005S_HP2247_S81","DietInt Study3","dog","Male",7.42,10.1,"No","Yes","Hill's","Facility"
"F-50183809-003S_HPN2131_S467","F-50183809-003S_HPN2131_S467","Cross-sectional Study1","dog","Female",1.22,6.1,"No","No","Hill's","Facility"
"F-50183811-003S_HPN2131_S436","F-50183811-003S_HPN2131_S436","Cross-sectional Study1","dog","Male",0.51,2.9,"No","No","Hill's","Facility"
"F-50183812-003S_HPN2131_S445","F-50183812-003S_HPN2131_S445","Cross-sectional Study1","dog","Male",0.76,3.5,"No","No","Hill's","Facility"
"F-50183813-003S_HPN2131_S440","F-50183813-003S_HPN2131_S440","Cross-sectional Study1","dog","Female",0.47,4.4,"No","No","Hill's","Facility"
"F-50183814-003S_HPN2131_S449","F-50183814-003S_HPN2131_S449","Cross-sectional Study1","dog","Female",0.72,5.5,"No","No","Hill's","Facility"
"F-50183815-003S_HPN2131_S458","F-50183815-003S_HPN2131_S458","Cross-sectional Study1","dog","Female",0.97,5.8,"No","No","Hill's","Facility"
"F-50183816-003S_HPN2131_S466","F-50183816-003S_HPN2131_S466","Cross-sectional Study1","dog","Female",1.22,4,"No","No","Hill's","Facility"
"F-50183818-003S_HPN2131_S439","F-50183818-003S_HPN2131_S439","Cross-sectional Study1","dog","Female",0.47,3,"No","No","Hill's","Facility"
"F-50183819-003S_HPN2131_S448","F-50183819-003S_HPN2131_S448","Cross-sectional Study1","dog","Female",0.72,3.3,"No","No","Hill's","Facility"
"F-50183820-003S_HPN2131_S457","F-50183820-003S_HPN2131_S457","Cross-sectional Study1","dog","Female",0.97,3.5,"No","No","Hill's","Facility"
"F-50183821-003S_HPN2131_S455","F-50183821-003S_HPN2131_S455","Cross-sectional Study1","dog","Male",1.01,4.3,"No","No","Hill's","Facility"
"F-50183822-003S_HPN2131_S464","F-50183822-003S_HPN2131_S464","Cross-sectional Study1","dog","Male",1.26,4.5,"No","No","Hill's","Facility"
"F-50183824-003S_HPN2131_S465","F-50183824-003S_HPN2131_S465","Cross-sectional Study1","dog","Male",1.22,5.5,"No","No","Hill's","Facility"
"F-50183826-003S_HPN2131_S437","F-50183826-003S_HPN2131_S437","Cross-sectional Study1","dog","Male",0.51,3.6,"No","No","Hill's","Facility"
"F-50183827-003S_HPN2131_S446","F-50183827-003S_HPN2131_S446","Cross-sectional Study1","dog","Male",0.76,4.5,"No","No","Hill's","Facility"
"F-50183828-003S_HPN2131_S438","F-50183828-003S_HPN2131_S438","Cross-sectional Study1","dog","Male",0.47,4.13,"No","No","Hill's","Facility"
"F-50183829-003S_HPN2131_S447","F-50183829-003S_HPN2131_S447","Cross-sectional Study1","dog","Male",0.72,5.6,"No","No","Hill's","Facility"
"F-50183830-003S_HPN2131_S456","F-50183830-003S_HPN2131_S456","Cross-sectional Study1","dog","Male",0.97,5.4,"No","No","Hill's","Facility"
"F-50183831-003S_HPN2131_S461","F-50183831-003S_HPN2131_S461","Cross-sectional Study1","dog","Female",1,4.5,"No","No","Hill's","Facility"
"F-50183832-003S_HPN2131_S470","F-50183832-003S_HPN2131_S470","Cross-sectional Study1","dog","Female",1.25,4.2,"No","No","Hill's","Facility"
"F-50183834-003S_HPN2131_S469","F-50183834-003S_HPN2131_S469","Cross-sectional Study1","dog","Male",1.27,4.4,"No","No","Hill's","Facility"
"F-50183836-003S_HPN2131_S443","F-50183836-003S_HPN2131_S443","Cross-sectional Study1","dog","Female",0.49,3.8,"No","No","Hill's","Facility"
"F-50183837-003S_HPN2131_S452","F-50183837-003S_HPN2131_S452","Cross-sectional Study1","dog","Female",0.74,4.4,"No","No","Hill's","Facility"
"F-50183838-003S_HPN2131_S442","F-50183838-003S_HPN2131_S442","Cross-sectional Study1","dog","Male",0.52,3.7,"No","No","Hill's","Facility"
"F-50183839-003S_HPN2131_S451","F-50183839-003S_HPN2131_S451","Cross-sectional Study1","dog","Male",0.77,4.7,"No","No","Hill's","Facility"
"F-50183840-003S_HPN2131_S460","F-50183840-003S_HPN2131_S460","Cross-sectional Study1","dog","Male",1.02,4.3,"No","No","Hill's","Facility"
"F-50183841-003S_HPN2131_S459","F-50183841-003S_HPN2131_S459","Cross-sectional Study1","dog","Male",0.99,4.4,"No","No","Hill's","Facility"
"F-50183842-003S_HPN2131_S468","F-50183842-003S_HPN2131_S468","Cross-sectional Study1","dog","Male",1.24,4.5,"No","No","Hill's","Facility"
"F-50183844-003S_HPN2131_S462","F-50183844-003S_HPN2131_S462","Cross-sectional Study1","dog","Male",1.24,8.8,"No","No","Hill's","Facility"
"F-50183846-003S_HPN2131_S441","F-50183846-003S_HPN2131_S441","Cross-sectional Study1","dog","Male",0.49,4,"No","No","Hill's","Facility"
"F-50183847-003S_HPN2131_S450","F-50183847-003S_HPN2131_S450","Cross-sectional Study1","dog","Male",0.74,4.9,"No","No","Hill's","Facility"
"F-50183848-003S_HPN2131_S435","F-50183848-003S_HPN2131_S435","Cross-sectional Study1","dog","Male",0.49,6,"No","No","Hill's","Facility"
"F-50183849-003S_HPN2131_S444","F-50183849-003S_HPN2131_S444","Cross-sectional Study1","dog","Male",0.74,8.1,"No","No","Hill's","Facility"
"F-50183850-003S_HPN2131_S453","F-50183850-003S_HPN2131_S453","Cross-sectional Study1","dog","Male",0.99,9,"No","No","Hill's","Facility"
"F-50183851-003S_HPN2131_S454","F-50183851-003S_HPN2131_S454","Cross-sectional Study1","dog","Male",1.01,3.3,"No","No","Hill's","Facility"
"F-50183852-003S_HPN2131_S463","F-50183852-003S_HPN2131_S463","Cross-sectional Study1","dog","Male",1.27,3.9,"No","No","Hill's","Facility"
"F-50183967-003S_HPN2131_S512","F-50183967-003S_HPN2131_S512","Cross-sectional Study1","dog","Male",1.19,7.7,"No","No","Hill's","Facility"
"F-50183972-003S_HPN2131_S497","F-50183972-003S_HPN2131_S497","Cross-sectional Study1","dog","Male",0.72,6.9,"No","No","Hill's","Facility"
"F-50183973-003S_HPN2131_S506","F-50183973-003S_HPN2131_S506","Cross-sectional Study1","dog","Male",0.96,7.6,"No","No","Hill's","Facility"
"F-50183974-003S_HPN2131_S502","F-50183974-003S_HPN2131_S502","Cross-sectional Study1","dog","Female",0.73,4.3,"No","No","Hill's","Facility"
"F-50183975-003S_HPN2131_S508","F-50183975-003S_HPN2131_S508","Cross-sectional Study1","dog","Female",0.98,4.5,"No","No","Hill's","Facility"
"F-50183976-003S_HPN2131_S514","F-50183976-003S_HPN2131_S514","Cross-sectional Study1","dog","Female",1.21,4.5,"No","No","Hill's","Facility"
"F-50183977-003S_HPN2131_S513","F-50183977-003S_HPN2131_S513","Cross-sectional Study1","dog","Male",1.23,4.2,"No","No","Hill's","Facility"
"F-50183982-003S_HPN2131_S501","F-50183982-003S_HPN2131_S501","Cross-sectional Study1","dog","Male",0.75,4.3,"No","No","Hill's","Facility"
"F-50183983-003S_HPN2131_S507","F-50183983-003S_HPN2131_S507","Cross-sectional Study1","dog","Male",1,4.5,"No","No","Hill's","Facility"
"F-50183984-003S_HPN2131_S503","F-50183984-003S_HPN2131_S503","Cross-sectional Study1","dog","Female",0.75,3,"No","No","Hill's","Facility"
"F-50183985-003S_HPN2131_S509","F-50183985-003S_HPN2131_S509","Cross-sectional Study1","dog","Female",1,2.9,"No","No","Hill's","Facility"
"F-50183986-003S_HPN2131_S515","F-50183986-003S_HPN2131_S515","Cross-sectional Study1","dog","Female",1.27,3,"No","No","Hill's","Facility"
"F-50183987-003S_HPN2131_S511","F-50183987-003S_HPN2131_S511","Cross-sectional Study1","dog","Female",1.21,2,"No","No","Hill's","Facility"
"F-50183990-003S_HPN2131_S495","F-50183990-003S_HPN2131_S495","Cross-sectional Study1","dog","Female",0.73,5.1,"No","No","Hill's","Facility"
"F-50183991-003S_HPN2131_S504","F-50183991-003S_HPN2131_S504","Cross-sectional Study1","dog","Female",0.98,5.3,"No","No","Hill's","Facility"
"F-50183992-003S_HPN2131_S510","F-50183992-003S_HPN2131_S510","Cross-sectional Study1","dog","Female",1.22,5.2,"No","No","Hill's","Facility"
"F-50183995-003S_HPN2131_S496","F-50183995-003S_HPN2131_S496","Cross-sectional Study1","dog","Female",0.72,2.4,"No","No","Hill's","Facility"
"F-50183996-003S_HPN2131_S505","F-50183996-003S_HPN2131_S505","Cross-sectional Study1","dog","Female",0.97,2.5,"No","No","Hill's","Facility"
"F-50183997-003S_HPN2131_S485","F-50183997-003S_HPN2131_S485","Cross-sectional Study1","dog","Male",0.74,6.1,"No","No","Hill's","Facility"
"F-50183998-003S_HPN2131_S491","F-50183998-003S_HPN2131_S491","Cross-sectional Study1","dog","Male",1,6.2,"No","No","Hill's","Facility"
"F-50184000-003S_HPN2131_S489","F-50184000-003S_HPN2131_S489","Cross-sectional Study1","dog","Female",1,6.2,"No","No","Hill's","Facility"
"F-50184002-003S_HPN2131_S472","F-50184002-003S_HPN2131_S472","Cross-sectional Study1","dog","Female",0.27,2,"No","No","Hill's","Facility"
"F-50184003-003S_HPN2131_S478","F-50184003-003S_HPN2131_S478","Cross-sectional Study1","dog","Female",0.52,3.6,"No","No","Hill's","Facility"
"F-50184004-003S_HPN2131_S471","F-50184004-003S_HPN2131_S471","Cross-sectional Study1","dog","Female",0.24,2.8,"No","No","Hill's","Facility"
"F-50184005-003S_HPN2131_S477","F-50184005-003S_HPN2131_S477","Cross-sectional Study1","dog","Female",0.48,5,"No","No","Hill's","Facility"
"F-50184006-003S_HPN2131_S483","F-50184006-003S_HPN2131_S483","Cross-sectional Study1","dog","Female",0.74,5.9,"No","No","Hill's","Facility"
"F-50184007-003S_HPN2131_S493","F-50184007-003S_HPN2131_S493","Cross-sectional Study1","dog","Male",1.04,5.4,"No","No","Hill's","Facility"
"F-50184009-003S_HPN2131_S473","F-50184009-003S_HPN2131_S473","Cross-sectional Study1","dog","Male",0.24,2.5,"No","No","Hill's","Facility"
"F-50184010-003S_HPN2131_S479","F-50184010-003S_HPN2131_S479","Cross-sectional Study1","dog","Male",0.48,4.8,"No","No","Hill's","Facility"
"F-50184011-003S_HPN2131_S475","F-50184011-003S_HPN2131_S475","Cross-sectional Study1","dog","Male",0.27,2.3,"No","No","Hill's","Facility"
"F-50184012-003S_HPN2131_S481","F-50184012-003S_HPN2131_S481","Cross-sectional Study1","dog","Male",0.52,4.3,"No","No","Hill's","Facility"
"F-50184013-003S_HPN2131_S487","F-50184013-003S_HPN2131_S487","Cross-sectional Study1","dog","Male",0.77,5.2,"No","No","Hill's","Facility"
"F-50184014-003S_HPN2131_S486","F-50184014-003S_HPN2131_S486","Cross-sectional Study1","dog","Female",0.81,4,"No","No","Hill's","Facility"
"F-50184015-003S_HPN2131_S492","F-50184015-003S_HPN2131_S492","Cross-sectional Study1","dog","Female",1.06,4.4,"No","No","Hill's","Facility"
