"sample_id","sample_id_metaphlan","subject_id","study_readable","species","sex","age","weight","antibiotics","medications","Hill's/Public","Facility/Household"
"SRS015280","SRS015280","SRS015280","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS045713","SRS045713","SRS045713","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS1041112","SRS1041112","SRS1041112","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS015369","SRS015369","SRS015369","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS016132","SRS016132","SRS016132","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS018936","SRS018936","SRS018936","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS014313","SRS014313","SRS014313","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS017859","SRS017859","SRS017859","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS046712","SRS046712","SRS046712","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS024663","SRS024663","SRS024663","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS015960","SRS015960","SRS015960","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS018541","SRS018541","SRS018541","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS019496","SRS019496","SRS019496","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS043001","SRS043001","SRS043001","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS055288","SRS055288","SRS055288","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS017433","SRS017433","SRS017433","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS077392","SRS077392","SRS077392","HMP1-II","human","Female",NA,NA,NA,NA,NA,NA
"SRS016381","SRS016381","SRS016381","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS016753","SRS016753","SRS016753","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
"SRS016437","SRS016437","SRS016437","HMP1-II","human","Male",NA,NA,NA,NA,NA,NA
